"","state","county","forecast","DemRepRatio"
"1","alabama","baldwin",0.382963947819677,0.267253200174375
"2124","alabama","calhoun",0.377144699652219,0.29521630811175
"2644","alabama","colbert",0.371340276447141,0.302875190590285
"3533","alabama","cullman",0.374041429749337,0.108274094491997
"4444","alabama","elmore",0.372223793263196,0.257413950533963
"5437","alabama","etowah",0.388488085518039,0.245609937360654
"6548","alabama","houston",0.388225261057143,0.374481243388396
"7559","alabama","jackson",0.38208081549282,0.299306103227783
"8110","alabama","jefferson",0.390874680768765,0.486252586841484
"15680","alabama","lee",0.38312163567596,0.395615183246073
"17128","alabama","madison",0.390383565024791,0.414480266994313
"21456","alabama","marshall",0.375108813496048,0.191784766957181
"22477","alabama","mobile",0.387625112336197,0.43977046985065
"26429","alabama","montgomery",0.383302813506566,0.661548508508044
"28730","alabama","morgan",0.385418461926644,0.254801816393247
"30060","alabama","shelby",0.38510142758346,0.544681903348836
"32271","alabama","st clair",0.371222335730119,0.449089352658146
"32960","alabama","tuscaloosa",0.387230560350841,0.424889178911366
"34472","alabama","walker",0.383635290127542,0.177369979424213
"35230","california","butte",0.584608964109344,0.135251798561151
"36188","california","orange",0.592151825171767,0.626646682863217
"61213","colorado","adams",0.520363306120297,0.269156247161757
"65841","colorado","douglas",0.527596936005185,0.54360916461977
"69184","colorado","garfield",0.517144795884235,0.217902317077721
"69911","colorado","jefferson",0.527550266310132,0.486252586841484
"74313","connecticut","fairfield",0.554377398399745,0.59990218460466
"80511","connecticut","hartford",0.553276379289219,0.640535995225954
"89170","connecticut","litchfield",0.547266706097832,0.47429679005342
"91029","connecticut","middlesex",0.552485950084152,0.713379631191794
"91555","connecticut","new haven",0.550828520770821,0.588161144954342
"100257","connecticut","new london",0.545296018817814,0.581823107733087
"101170","connecticut","tolland",0.538958031970386,0.558951246376078
"101911","connecticut","windham",0.536029750569898,0.478199366125307
"102552","florida","alachua",0.467044078046498,0.637663851687566
"105126","florida","bay",0.462767825427696,0.279290379561885
"106825","florida","bradford",0.447710207074709,0.234178153253298
"107377","florida","brevard",0.467083154469479,0.416766732504377
"111026","florida","broward",0.476302250353905,0.649839680474205
"135906","florida","charlotte",0.468271429405281,0.366549388399316
"137403","florida","citrus",0.465768705147978,0.293063908961101
"138098","florida","clay",0.450105367161986,0.293118418561533
"138769","florida","collier",0.4729890615771,0.37575942412052
"142744","florida","columbia",0.463002265290253,0.371892459890307
"143764","florida","duval",0.469522140416552,0.519322747667164
"155489","florida","escambia",0.465522726461582,0.413583074322482
"159445","florida","highlands",0.460286585081187,0.326918994036016
"160226","florida","hillsborough",0.465169401986458,0.534790732701967
"175545","florida","indian river",0.461640892782966,0.391289962364035
"176679","florida","lake",0.466608303838384,0.512388200655519
"181754","florida","lee",0.46921855123186,0.395615183246073
"189089","florida","leon",0.466926264482574,0.642825170651647
"192093","florida","manatee",0.47088995552048,0.419078516218691
"196517","florida","marion",0.467684734195757,0.333994537169018
"200266","florida","martin",0.46458952642224,0.387352494027366
"201438","florida","miami-dade",0.472209902648197,0.536947606537603
"223970","florida","okaloosa",0.450988870810053,0.300299878996195
"224748","florida","orange",0.468423765618117,0.626646682863217
"240731","florida","palm beach",0.476566326715834,0.564338921985779
"254400","florida","pasco",0.469079190706964,0.398645436466752
"262032","florida","pinellas",0.468453259017055,0.501120725934194
"272625","florida","polk",0.463146099341917,0.401649519598674
"279593","florida","santa rosa",0.448911799747319,0.262978942255493
"280225","florida","sarasota",0.467011940711366,0.447370381406436
"286626","florida","seminole",0.473094628975888,0.50383637401496
"291542","florida","st johns",0.462755730348377,0.365282958420101
"293724","florida","st lucie",0.460756615384975,0.492121332647045
"295110","florida","volusia",0.463370363209746,0.428964243945387
"301581","georgia","appling",0.454326282371518,0.214208308248043
"302095","georgia","bibb",0.484233557047757,0.571288522447338
"304515","georgia","bulloch",0.470871937836825,0.379459313510412
"305404","georgia","carroll",0.466708569476906,0.322907432602193
"306407","georgia","chatham",0.479072941777897,0.585304016404404
"310156","georgia","cherokee",0.477450618895115,0.287308095230498
"312169","georgia","clarke",0.473408829843489,0.629056889316916
"313438","georgia","clayton",0.475235695237127,0.857910485313014
"315964","georgia","cobb",0.481262664176909,0.572794051199959
"327557","georgia","columbia",0.4830928663312,0.371892459890307
"328540","georgia","coweta",0.478969483745787,0.319768593731426
"330562","georgia","dougherty",0.473601580743065,0.701578601809826
"331143","georgia","floyd",0.476480566717617,0.298093725178713
"332089","georgia","forsyth",0.47633033167673,0.477029825887617
"334624","georgia","fulton",0.482004836228654,0.703281181901467
"342770","georgia","glynn",0.476080161319998,0.382672611157971
"343502","georgia","gwinnett",0.480719184428832,0.592364785420341
"356742","georgia","hall",0.475216947842491,0.2806134460376
"358687","georgia","henry",0.480941988560286,0.485492029030163
"359749","georgia","houston",0.476236378200725,0.374481243388396
"361208","georgia","lowndes",0.474230802713339,0.476832142314125
"361844","georgia","muscogee",0.476559808578878,0.622395636985096
"363929","georgia","paulding",0.462699760490976,0.341256094431614
"364709","georgia","pickens",0.45856363920715,0.257745575304728
"365293","georgia","richmond",0.473896091202508,0.627694506508426
"367562","georgia","rockdale",0.473850532291751,0.705983369486623
"369221","georgia","spalding",0.46485271642863,0.394892932542475
"370218","georgia","troup",0.481025156937452,0.389556206049595
"371036","georgia","ware",0.463191842133925,0.299161693662972
"371497","georgia","whitfield",0.472628116147876,0.293890816944858
"372443","illinois","adams",0.531186006162764,0.269156247161757
"373494","illinois","champaign",0.531618382140988,0.554708356026178
"374807","illinois","christian",0.521521473521485,0.272675808277771
"375280","illinois","coles",0.52502509453153,0.364956568946797
"376074","illinois","cook",0.540643425046421,0.754203581440476
"414953","illinois","effingham",0.527256405969381,0.229638554216867
"415878","illinois","jo daviess",0.517025572015819,0.416211812627291
"416486","illinois","kane",0.535950848533357,0.568152893814121
"419903","illinois","kankakee",0.521523894717861,0.415363809601869
"420903","illinois","la salle",0.526364746907921,0.0909350057012543
"422417","illinois","lake",0.538040326270855,0.512388200655519
"430008","illinois","livingston",0.518573675395071,0.171268329441994
"430577","illinois","macon",0.525398704425313,0.407878212058666
"431267","illinois","madison",0.522119358672823,0.414480266994313
"434959","illinois","mchenry",0.533011465504452,0.481921367437646
"437717","illinois","mclean",0.533662074694277,0.502576143685388
"439993","illinois","peoria",0.537001618713474,0.532543077111084
"441766","illinois","rock island",0.535175680897734,0.561935246730174
"443754","illinois","sangamon",0.534018743217552,0.477695748129919
"446177","illinois","st clair",0.529282702468066,0.449089352658146
"450072","illinois","tazewell",0.523602336145084,0.321125727643581
"452056","illinois","vermilion",0.524473675150502,0.264404090572025
"452566","illinois","whiteside",0.521276736518563,0.457542942494399
"453080","illinois","will",0.530285689455685,0.542472517262433
"457304","illinois","williamson",0.538131023556858,0.355859865477461
"458795","illinois","winnebago",0.533122079880302,0.498752150867497
"459911","illinois","woodford",0.516663816698466,0.293907152058781
"461370","indiana","allen",0.415520289641063,0.285475968883348
"466722","indiana","clark",0.417585033329252,0.483306959613567
"468496","indiana","delaware",0.421943934164199,0.433723072562358
"469168","indiana","hamilton",0.420486829293899,0.539325973387215
"478211","indiana","hancock",0.40081495452885,0.321585496436879
"478775","indiana","howard",0.410434020450063,0.716446611515915
"479510","indiana","johnson",0.411385590275051,0.215688715953307
"481174","indiana","lake",0.41694483703527,0.512388200655519
"486406","indiana","madison",0.406538473318906,0.414480266994313
"487347","indiana","marion",0.419230718355716,0.333994537169018
"494156","indiana","monroe",0.423550778218913,0.355735505445035
"495531","indiana","wayne",0.421837135294232,0.333849362957795
"496193","iowa","dallas",0.430295926715142,0.650221784130113
"497402","iowa","johnson",0.441446333113408,0.215688715953307
"499438","iowa","polk",0.443244186257857,0.401649519598674
"506475","iowa","scott",0.446502808566115,0.144264955943732
"508438","kentucky","adair",0.37340999519072,0.198938611589214
"509288","kentucky","boone",0.387319008592038,0.330716317055978
"511693","kentucky","christian",0.374126900756618,0.272675808277771
"512339","kentucky","fayette",0.38447085301544,0.371022299171195
"515940","kentucky","franklin",0.380090058665888,0.584962310404024
"516865","kentucky","hardin",0.380812772114311,0.199584670568246
"518122","kentucky","jefferson",0.38553879526383,0.486252586841484
"525960","kentucky","madison",0.379414392631247,0.414480266994313
"527181","kentucky","perry",0.377637648437112,0.3090978205778
"527802","kentucky","pike",0.377755062450819,0.254942746519483
"528352","kentucky","pulaski",0.378118182544987,0.575706029646378
"529079","kentucky","scott",0.370016560500023,0.144264955943732
"529690","kentucky","warren",0.384282246248217,0.353587429863496
"530901","louisiana","ascension",0.4077871985922,0.333939036767835
"532544","louisiana","bossier",0.409142747700843,0.291461962185499
"533902","louisiana","caddo",0.404693020463389,0.512170475295619
"535309","louisiana","calcasieu",0.397495622156688,0.32057546145494
"536371","louisiana","east baton rouge",0.417240935975993,0.566562253366471
"541606","louisiana","jefferson",0.411505289015141,0.486252586841484
"546789","louisiana","lafayette",0.407135960130134,0.352079491907396
"550286","louisiana","livingston",0.396397315594375,0.171268329441994
"551867","louisiana","orleans",0.40848100301211,0.84721346795173
"553366","louisiana","ouachita",0.400003612636054,0.386123913913526
"554522","louisiana","rapides",0.406647439224679,0.336809518868251
"555790","louisiana","st john the baptist",0.394976830451998,0.643087121212121
"556278","louisiana","st tammany",0.411370193919168,0.274692166623002
"558940","louisiana","tangipahoa",0.403120593622512,0.333145185472633
"560488","louisiana","terrebonne",0.405453128379099,0.245909919406197
"562203","louisiana","vernon",0.401177672184578,0.316860465116279
"562925","maryland","anne arundel",0.599658800184739,0.574842671066111
"568363","maryland","baltimore",0.598847906922167,0.638660342897252
"576273","maryland","baltimore city",0.602636686403642,0.890927379488811
"577427","maryland","carroll",0.596722107949227,0.322907432602193
"579284","maryland","charles",0.598631463410675,0.708501424501425
"580611","maryland","dorchester",0.586470344291799,0.438960373855707
"581771","maryland","frederick",0.591778032925736,0.50169731707575
"584442","maryland","harford",0.584740176666452,0.438083666030203
"586531","maryland","howard",0.601385509978913,0.716446611515915
"589328","maryland","montgomery",0.607876704684818,0.661548508508044
"599891","maryland","talbot",0.594325568034532,0.516422356353375
"600608","maryland","washington",0.587723737265461,0.330211272748381
"601745","maryland","wicomico",0.585436799802572,0.490110671585404
"602400","massachusetts","barnstable",0.600751439827756,0.624513763959132
"604331","massachusetts","berkshire",0.597213091917165,0.741088449024638
"605134","massachusetts","bristol",0.597058024928959,0.561308550077036
"611674","massachusetts","essex",0.600209665099594,0.646268785214804
"618416","massachusetts","hampden",0.597737014521217,0.590567647913873
"621813","massachusetts","hampshire",0.59369930807384,0.739838632462665
"622585","massachusetts","middlesex",0.600082752856573,0.713379631191794
"634870","massachusetts","norfolk",0.603067217819418,0.685669558411063
"642838","massachusetts","plymouth",0.595272384608729,0.588861719409748
"648912","massachusetts","suffolk",0.613744522716138,0.821918057939751
"650339","massachusetts","worcester",0.598575506069712,0.578699121099589
"659076","michigan","bay",0.473487661294839,0.279290379561885
"660553","michigan","berrien",0.475681657847812,0.16506243496358
"661033","michigan","calhoun",0.47190230642421,0.29521630811175
"662285","michigan","jackson",0.475863418010101,0.299306103227783
"663379","michigan","kent",0.478743999328893,0.506366400608134
"669967","michigan","livingston",0.469136008210201,0.171268329441994
"671254","michigan","marquette",0.471670187069428,0.361576244697477
"672011","michigan","monroe",0.471419345398647,0.355735505445035
"673031","michigan","ottawa",0.475326292005359,0.335388763013738
"676248","michigan","wayne",0.474819303185962,0.333849362957795
"686182","minnesota","ramsey",0.497818041298356,0.314225460122699
"692125","minnesota","scott",0.486343301733373,0.144264955943732
"693453","minnesota","washington",0.483642314030728,0.330211272748381
"695568","missouri","boone",0.422870120913057,0.330716317055978
"697757","missouri","buchanan",0.413150840446193,0.160335421297232
"698535","missouri","butler",0.409256414797396,0.380389602332651
"699077","missouri","cass",0.405481418365097,0.475513213111036
"700361","missouri","christian",0.415867779151426,0.272675808277771
"700967","missouri","clay",0.416360588543454,0.293118418561533
"703291","missouri","franklin",0.407263073654777,0.584962310404024
"704593","missouri","greene",0.417552435181557,0.351351665939182
"708272","missouri","jackson",0.418983711459999,0.299306103227783
"716402","missouri","jasper",0.422657365011405,0.211556099052278
"717760","missouri","jefferson",0.410876915600349,0.486252586841484
"719196","missouri","lincoln",0.408631801918658,0.273723096494823
"719729","missouri","livingston",0.403170953441356,0.171268329441994
"720249","missouri","newton",0.411532898518627,0.529897157945938
"720794","missouri","platte",0.415452219636233,0.185881370091896
"722021","missouri","st charles",0.418566170722359,0.349587985588414
"728146","missouri","webster",0.402822622152287,0.351281654546392
"728705","new jersey","camden",0.536067537053155,0.326968727422851
"732091","new jersey","cumberland",0.525129023923007,0.504658832570203
"733230","new jersey","essex",0.539281668450907,0.646268785214804
"735312","new jersey","gloucester",0.522814522562477,0.318879069554467
"738043","new jersey","mercer",0.537920236459807,0.218127381600435
"741160","new jersey","middlesex",0.540887553408594,0.713379631191794
"748960","new jersey","somerset",0.540238301896331,0.424949899799599
"751397","new jersey","sussex",0.529077914278595,0.560245739199366
"752599","new jersey","union",0.544704063264833,0.332254391743043
"758240","new jersey","warren",0.531637164497722,0.353587429863496
"758800","new york","albany",0.563233349233177,0.514515307566069
"763396","new york","clinton",0.565558428506405,0.235749833256375
"764096","new york","erie",0.553546466764438,0.441151993543994
"770033","new york","jefferson",0.551020405457836,0.486252586841484
"771319","new york","madison",0.541118575680355,0.414480266994313
"771944","new york","monroe",0.558938619581349,0.355735505445035
"777717","new york","nassau",0.571350018322423,0.267744710132462
"786461","new york","oneida",0.555050746029809,0.39559851755626
"788914","new york","orange",0.561185397430085,0.626646682863217
"790516","new york","orleans",0.539086011365315,0.84721346795173
"791111","new york","putnam",0.549332013870697,0.267147074144817
"791721","new york","richmond",0.560369542555795,0.627694506508426
"793574","new york","suffolk",0.562696513657446,0.821918057939751
"802859","new york","warren",0.558323304866919,0.353587429863496
"804046","north carolina","alamance",0.475925891678548,0.457405072984531
"805864","north carolina","buncombe",0.474990067769619,0.607291397937418
"808366","north carolina","burke",0.465642469719817,0.330440073733379
"808929","north carolina","cabarrus",0.469964989174678,0.452014315548662
"810974","north carolina","carteret",0.460378476130076,0.287101445834619
"811490","north carolina","catawba",0.468254357288945,0.312225773910084
"813666","north carolina","cleveland",0.4719020273167,0.394864587908066
"814536","north carolina","craven",0.465683531825406,0.405289382905328
"815346","north carolina","cumberland",0.466984189829918,0.504658832570203
