state,county,DemRepRatio
new york,suffolk,0.821918057939752
new york,nassau,0.267744710132463
new jersey,union,0.332254391743043
connecticut,hartford,0.640535995225954
new jersey,somerset,0.424949899799599
massachusetts,hampden,0.590567647913873
connecticut,new haven,0.588161144954342
connecticut,fairfield,0.59990218460466
michigan,livingston,0.171268329441993
michigan,wayne,0.333849362957795
michigan,jackson,0.299306103227782
new york,richmond,0.627694506508426
new jersey,mercer,0.218127381600436
new jersey,sussex,0.560245739199366
new jersey,essex,0.646268785214804
michigan,calhoun,0.29521630811175
michigan,monroe,0.355735505445035
new jersey,middlesex,0.713379631191794
new york,orange,0.626646682863217
ohio,lucas,0.58532565145506
massachusetts,middlesex,0.713379631191794
connecticut,middlesex,0.713379631191794
ohio,cuyahoga,0.672471823873966
illinois,cook,0.754203581440475
pennsylvania,lancaster,0.476716206652512
connecticut,litchfield,0.47429679005342
connecticut,windham,0.478199366125307
,washington,0.330211272748381
indiana,allen,0.285475968883348
ohio,franklin,0.584962310404024
michigan,kent,0.506366400608134
,kent,0.506366400608134
,king,0.771209296909332
massachusetts,essex,0.646268785214804
massachusetts,worcester,0.578699121099589
massachusetts,franklin,0.584962310404024
massachusetts,bristol,0.561308550077036
,rockingham,0.31716988237379
massachusetts,norfolk,0.685669558411064
new york,putnam,0.267147074144817
new york,albany,0.514515307566069
massachusetts,plymouth,0.588861719409748
connecticut,tolland,0.558951246376078
,bristol,0.561308550077036
,hillsborough,0.534790732701967
massachusetts,hampshire,0.739838632462664
,york,0.466274654572302
new york,greene,0.351351665939182
massachusetts,berkshire,0.741088449024639
new york,washington,0.330211272748381
massachusetts,suffolk,0.821918057939752
,sullivan,0.236175682327846
ohio,ashland,0.327898236484533
virginia,fairfax,0.713771195083149
new york,columbia,0.371892459890307
tennessee,shelby,0.544681903348836
missouri,jackson,0.299306103227782
indiana,marion,0.333994537169018
florida,seminole,0.50383637401496
florida,hillsborough,0.534790732701967
tennessee,davidson,0.574200379634053
texas,williamson,0.355859865477461
oklahoma,oklahoma,0.494201008459623
ohio,sandusky,0.359283873592839
tennessee,washington,0.330211272748381
georgia,hall,0.280613446037599
,harrison,0.233862433862433
georgia,forsyth,0.477029825887617
kentucky,montgomery,0.661548508508044
pennsylvania,bradford,0.234178153253298
,brown,0.427410587942354
california,orange,0.626646682863217
tennessee,sullivan,0.236175682327846
new york,monroe,0.355735505445035
,lincoln,0.273723096494823
north carolina,edgecombe,0.63605455623641
kentucky,perry,0.3090978205778
wisconsin,marathon,0.408420829356241
tennessee,decatur,0.340951352648311
georgia,clayton,0.857910485313014
texas,harris,0.275940533980582
tennessee,knox,0.410655667778178
,clark,0.483306959613567
utah,davis,0.319813651887876
utah,utah,0.248994835534298
north carolina,cabarrus,0.452014315548662
michigan,marquette,0.361576244697477
alabama,covington,0.157219622118219
texas,kendall,0.529332907756144
,bernalillo,0.625241214624544
texas,cameron,0.0811013767209018
georgia,coweta,0.319768593731426
north carolina,alamance,0.457405072984531
tennessee,blount,0.222035142252731
florida,orange,0.626646682863217
north carolina,wake,0.634891119601377
wisconsin,milwaukee,0.702504500395239
florida,palm beach,0.564338921985779
florida,duval,0.519322747667164
,clallam,0.517359730448067
georgia,glynn,0.382672611157971
virginia,henrico,0.647579050285537
florida,volusia,0.428964243945387
oklahoma,tulsa,0.41990985090727
virginia,chesterfield,0.533978158503153
,silver bow,0.572972376909081
georgia,rockdale,0.705983369486623
ohio,licking,0.357084985254243
florida,miami-dade,0.536947606537603
,mason,0.451780937631987
missouri,st charles,0.349587985588414
north carolina,mecklenburg,0.671291815126608
,pierce,0.542490767848826
florida,broward,0.649839680474204
florida,escambia,0.413583074322482
wisconsin,kenosha,0.484058968622727
,spokane,0.477472471433947
ohio,summit,0.553214478660184
illinois,henry,0.485492029030163
missouri,clay,0.293118418561534
,canyon,0.295310360565951
alabama,elmore,0.257413950533963
alabama,baldwin,0.267253200174375
,de soto,0.374562427071179
missouri,lincoln,0.273723096494823
ohio,butler,0.380389602332651
georgia,gwinnett,0.592364785420341
kentucky,fayette,0.371022299171195
ohio,hamilton,0.539325973387215
maryland,baltimore,0.638660342897252
,douglas,0.54360916461977
louisiana,east baton rouge,0.566562253366471
tennessee,sumner,0.303728575504203
indiana,grant,0.344382428940568
louisiana,jefferson,0.486252586841484
illinois,vermilion,0.264404090572025
north carolina,pitt,0.547950924229422
georgia,cobb,0.572794051199959
,lake,0.512388200655519
,nez perce,0.327359968664316
florida,marion,0.333994537169018
minnesota,clay,0.293118418561534
north carolina,caldwell,0.233407666985239
wisconsin,outagamie,0.449468185418474
illinois,kane,0.568152893814121
virginia,prince william,0.63753932659482
,cass,0.475513213111036
illinois,christian,0.272675808277771
illinois,monroe,0.355735505445035
illinois,will,0.542472517262433
georgia,whitfield,0.293890816944858
,pope,0.23858043678868
north carolina,nash,0.501158882836945
massachusetts,barnstable,0.624513763959132
tennessee,putnam,0.267147074144817
oklahoma,pottawatomie,0.264401235689625
georgia,richmond,0.627694506508426
texas,jones,0.348499754058042
tennessee,cheatham,0.276363271852446
maryland,carroll,0.322907432602193
florida,polk,0.401649519598674
wisconsin,la crosse,0.568856155117992
louisiana,concordia,0.364042626332073
illinois,lake,0.512388200655519
illinois,mclean,0.502576143685388
ohio,huron,0.29043608459667
florida,pasco,0.398645436466752
georgia,fulton,0.703281181901467
north carolina,chatham,0.585304016404404
tennessee,wilson,0.380989502591133
florida,pinellas,0.501120725934194
louisiana,grant,0.344382428940568
,yellowstone,0.376655903549373
indiana,lake,0.512388200655519
georgia,dougherty,0.701578601809827
maryland,montgomery,0.661548508508044
,pike,0.254942746519483
louisiana,vernon,0.316860465116279
illinois,rock island,0.561935246730174
tennessee,hamilton,0.539325973387215
ohio,warren,0.353587429863496
illinois,st clair,0.449089352658146
south carolina,york,0.466274654572302
new york,warren,0.353587429863496
,snohomish,0.606698238947339
georgia,bulloch,0.379459313510412
illinois,mercer,0.218127381600436
minnesota,pope,0.23858043678868
georgia,laurens,0.357750598245148
,ellis,0.087567567567567
indiana,floyd,0.298093725178713
ohio,lorain,0.487585944698976
indiana,hamilton,0.539325973387215
ohio,brown,0.427410587942354
north carolina,lee,0.395615183246073
,johnson,0.215688715953307
,lamar,0.223209293657202
colorado,douglas,0.54360916461977
tennessee,bradley,0.227656159986832
illinois,piatt,0.347603633705753
new york,erie,0.441151993543994
indiana,clark,0.483306959613567
iowa,dallas,0.650221784130112
utah,salt lake,0.56008985524818
wisconsin,marinette,0.324922805469784
new jersey,warren,0.353587429863496
north carolina,moore,0.350009835420628
ohio,portage,0.462101863599664
north carolina,iredell,0.335863941802613
alabama,montgomery,0.661548508508044
north carolina,new hanover,0.510840432844928
wisconsin,dodge,0.332471960520413
missouri,marion,0.333994537169018
iowa,scott,0.144264955943732
texas,dallas,0.650221784130112
ohio,wood,0.438891328108214
illinois,woodford,0.293907152058781
ohio,champaign,0.554708356026178
pennsylvania,mercer,0.218127381600436
michigan,ottawa,0.335388763013738
ohio,williams,0.217719396310788
oklahoma,noble,0.19525563842214
ohio,union,0.332254391743043
pennsylvania,wayne,0.333849362957795
,chelan,0.459650789880033
virginia,franklin,0.584962310404024
florida,st lucie,0.492121332647045
north carolina,durham,0.816767994942055
tennessee,lincoln,0.273723096494823
,lancaster,0.476716206652512
